Color,Text/Dropdown,,color,Y,Y,"Action Camera
Apple Watch
Apple Watch Accessories
Bags
Bluetooth & Wireless Speaker
Built-in - Dish Washer
Connected Toy
Connectors
Cases & Covers
CCTV & IP Cameras
Chargers/Wall Chargers
Deep Fryers
Gaming Headset
Gaming Accessies
Gaming Keyboard
Gaming Mouse
Game Console
Polaroid Cameras (Instant Camera)
Electric Toothbrushes
Hood & HOB
Hobs
Dish Washers
Oven
Electric Fan
Table Top - Dish Washer
Built-in - Dish Washer
Free Stand - Dish Washer
For TV antenna (Digital box)
Headphones
Portable Speakers
Microphone
Visual Cables
Other
Refrigerator 1 Door
Refrigerator 2 Doors
Refrigerator 3 Doors
Refrigerator 4 Doors up
Refrigerator Side-By-Side
Freezers
Water Purifier Accessories
Smart Watch
Watch
Wearable Technology Accessories
Drone
Power Bank
Batteries
Hand Free Kits
iPhone Accessories
External Device
iPad Accessories
Macbook Accessories
Tripods
Lens Caps
Straps
Cleaners
Films
Gaming Accessories
Note Pad
Mouse
Other Accessories
External Hard Disks
Keyboards
Diskettes
Plugs
Speakers
Internet Software
Utilities Bag
Guitars"
Color Available,Text/Dropdown,,color_available,N,Y,Headphones
Cord,Text,,cord,N,Y,Headphones
Controlling System,Text,,controlling_system,N,Y,"Bluetooth & Wireless Speaker
Headphones
Speakers
Diskettes
Portable Speakers"
Cable Connecting,Text,,cable_connecting,N,Y,Headphones
Continuous Play,Text,,continuous_play,N,Y,"CD & DVDs
CD Players
Media Players
MP3"
Call pick up / Call out button,Text,,"call_pick _up
call_out button",N,Y,"Portable Speakers
Bluetooth & Wireless Speaker"
Carrier Frequency,Text,,carrier_frequency,N,Y,Other
Conductor,Text,,conductor,N,Y,Other
Connector Types,Text,,connector_types,N,Y,Other
Capacity (Cubic),Text/Dropdown,,capacity,Y,Y,"Refrigerator 1 Door
Refrigerator 2 Doors
Refrigerator 3 Doors
Refrigerator Side-By-Side
Wine & Beverage Cooler
Freezers
Refrigerators Inverter"
Chilled Capacity,Text,Liters,chilled_capacity,N,Y,"Refrigerator 1 Door
Refrigerator 2 Doors
Refrigerator 3 Doors
Refrigerator Side-By-Side
Freezers"
Cold distribution system,Text,,cold_distribution_system,N,Y,"Refrigerator 1 Door
Refrigerator 2 Doors
Refrigerator 3 Doors
Refrigerator Side-By-Side
Wall Type (Inverter)
Wall Type (Non-inverter)
Floor/Ceiling Type (Inverter)
Floor/Ceiling Type (Non-inverter)
Portable Air Conditioners
Cassette Type
Service"
Controls,Text,,controls,N,Y,Guitars
Cooling system,Text,,cooling_system,N,Y,"Refrigerator 1 Door
Refrigerator 2 Doors
Refrigerator 3 Doors
Refrigerator 4 Doors up
Refrigerator Side-By-Side
Wine & Beverage Cooler
Freezers"
Compressor Warranty (Year),Text,,compressor_warranty,N,Y,"Cassette Type
Refrigerator 1 Door
Refrigerator 2 Doors
Refrigerator 3 Doors
Refrigerator Side-By-Side
Wine & Beverage Cooler
Freezers
Wall Type (Inverter)
Wall Type (Non-inverter)
Floor/Ceiling Type (Inverter)
Floor/Ceiling Type (Non-inverter)
Portable Air Conditioners
Service"
Cord Length,Text,(m),cord_length,N,Y,"Microphone
Hand Free Kits
Diskettes
Headphones
Other
Steam Irons
Dry Irons
Stream Generators
Handheld Vacuum Cleaners
Wet & Dry Vacuum Cleaners"
Capacity of Jar (Liters),Text,Liters,capacity_of_jar,N,Y,"Blenders & Juicers
Deep Fryers"
Cooking Mode,Text,,cooking_mode,N,Y,"Deep Fryers
Electric Fan
Oven
Hood & HOB"
Calc System,Text,,calc_system,N,Y,Electric Kettle
Component Video Output,Text,,component_video_output,N,Y,DVD
Cable Connection,Text,,cable_connection,N,Y,For TV antenna (Digital box)
"CH,VHF,UHF",Text,,ch_vhf_uhf,N,Y,For TV antenna (Digital box)
CHANNELS,Text,,channels,N,Y,For TV antenna (Digital box)
Connect,Text,,connect,N,Y,"Bluetooth & Wireless Speaker

Portable Speakers"
Cable Types,Text,,cable_types,N,Y,Headphones
Cale Iength,Text,,cale_length,N,Y,Data Cables & Data Links
